Format Version,1.23,Take Name,Robot_base_calib,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-10-22 03.23.54.946 PM,Total Frames in Take,324,Total Exported Frames,324,Rotation Type,ZYX,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,"RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker5","RigidBody:Marker5","RigidBody:Marker5","RigidBody:Marker5","RigidBody:Marker6","RigidBody:Marker6","RigidBody:Marker6","RigidBody:Marker6","RigidBody:Marker7","RigidBody:Marker7","RigidBody:Marker7","RigidBody:Marker7","RigidBody:Marker8","RigidBody:Marker8","RigidBody:Marker8","RigidBody:Marker8",RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002,"RigidBody 002:Marker1","RigidBody 002:Marker1","RigidBody 002:Marker1","RigidBody 002:Marker1","RigidBody 002:Marker2","RigidBody 002:Marker2","RigidBody 002:Marker2","RigidBody 002:Marker2","RigidBody 002:Marker3","RigidBody 002:Marker3","RigidBody 002:Marker3","RigidBody 002:Marker3","RigidBody 002:Marker4","RigidBody 002:Marker4","RigidBody 002:Marker4","RigidBody 002:Marker4","RigidBody 002:Marker5","RigidBody 002:Marker5","RigidBody 002:Marker5","RigidBody 002:Marker5","RigidBody 002:Marker6","RigidBody 002:Marker6","RigidBody 002:Marker6","RigidBody 002:Marker6","RigidBody 002:Marker7","RigidBody 002:Marker7","RigidBody 002:Marker7","RigidBody 002:Marker7","RigidBody 002:Marker8","RigidBody 002:Marker8","RigidBody 002:Marker8","RigidBody 002:Marker8","RigidBody 002:Marker9","RigidBody 002:Marker9","RigidBody 002:Marker9","RigidBody 002:Marker9",RigidBody 002:Marker1,RigidBody 002:Marker1,RigidBody 002:Marker1,RigidBody 002:Marker2,RigidBody 002:Marker2,RigidBody 002:Marker2,RigidBody 002:Marker3,RigidBody 002:Marker3,RigidBody 002:Marker3,RigidBody 002:Marker4,RigidBody 002:Marker4,RigidBody 002:Marker4,RigidBody 002:Marker5,RigidBody 002:Marker5,RigidBody 002:Marker5,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker6,RigidBody:Marker6,RigidBody:Marker6,RigidBody:Marker7,RigidBody:Marker7,RigidBody:Marker7,RigidBody:Marker8,RigidBody:Marker8,RigidBody:Marker8,Unlabeled 1007,Unlabeled 1007,Unlabeled 1007,Unlabeled 1008,Unlabeled 1008,Unlabeled 1008,Unlabeled 1009,Unlabeled 1009,Unlabeled 1009,Unlabeled 1012,Unlabeled 1012,Unlabeled 1012,Unlabeled 1017,Unlabeled 1017,Unlabeled 1017,Unlabeled 1019,Unlabeled 1019,Unlabeled 1019,Unlabeled 1021,Unlabeled 1021,Unlabeled 1021
,ID,"DA212DA907811EFF407FFEBDF282EAC","DA212DA907811EFF407FFEBDF282EAC","DA212DA907811EFF407FFEBDF282EAC","DA212DA907811EFF407FFEBDF282EAC","DA212DA907811EFF407FFEBDF282EAC","DA212DA907811EFF407FFEBDF282EAC","DA212DA907811EFF407FFEBDF282EAC","DA212DA907811EFF407FFEBDF282EAC","DA212DA907811EFF407FFEBDF282EAC","DA212DA907811EFF407FFEBDF282EAC","DA212DA907811EFF407FFEBDF282EAC","DA212DA907811EFF407FFEBDF282EAC","DA212DA907811EFF407FFEBDF282EAC","DA212DA907811EFF407FFEBDF282EAC","DA212DA907811EFF407FFEBDF282EAC","DA212DA907811EFF407FFEBDF282EAC","DA212DA907811EFF407FFEBDF282EAC","DA212DA907811EFF407FFEBDF282EAC","DA212DA907811EFF407FFEBDF282EAC","DA212DA907811EFF407FFEBDF282EAC","DA212DA907811EFF407FFEBDF282EAC","DA212DA907811EFF407FFEBDF282EAC","DA212DA907811EFF407FFEBDF282EAC","DA212DA907811EFF407FFEBDF282EAC","DA212DA907811EFF407FFEBDF282EAC","DA212DA907811EFF407FFEBDF282EAC","DA212DA907811EFF407FFEBDF282EAC","DA212DA907811EFF407FFEBDF282EAC","DA212DA907811EFF407FFEBDF282EAC","DA212DA907811EFF407FFEBDF282EAC","DA212DA907811EFF407FFEBDF282EAC","DA212DA907811EFF407FFEBDF282EAC","DA212DA907811EFF407FFEBDF282EAC","DA212DA907811EFF407FFEBDF282EAC","DA212DA907811EFF407FFEBDF282EAC","DA212DA907811EFF407FFEBDF282EAC","DA212DA907811EFF407FFEBDF282EAC","DA212DA907811EFF407FFEBDF282EAC","DA212DA907811EFF407FFEBDF282EAC","2DD0323E907811EFF407FFEBDF282EAC","2DD0323E907811EFF407FFEBDF282EAC","2DD0323E907811EFF407FFEBDF282EAC","2DD0323E907811EFF407FFEBDF282EAC","2DD0323E907811EFF407FFEBDF282EAC","2DD0323E907811EFF407FFEBDF282EAC","2DD0323E907811EFF407FFEBDF282EAC","2DD0323E907811EFF407FFEBDF282EAC","2DD0323E907811EFF407FFEBDF282EAC","2DD0323E907811EFF407FFEBDF282EAC","2DD0323E907811EFF407FFEBDF282EAC","2DD0323E907811EFF407FFEBDF282EAC","2DD0323E907811EFF407FFEBDF282EAC","2DD0323E907811EFF407FFEBDF282EAC","2DD0323E907811EFF407FFEBDF282EAC","2DD0323E907811EFF407FFEBDF282EAC","2DD0323E907811EFF407FFEBDF282EAC","2DD0323E907811EFF407FFEBDF282EAC","2DD0323E907811EFF407FFEBDF282EAC","2DD0323E907811EFF407FFEBDF282EAC","2DD0323E907811EFF407FFEBDF282EAC","2DD0323E907811EFF407FFEBDF282EAC","2DD0323E907811EFF407FFEBDF282EAC","2DD0323E907811EFF407FFEBDF282EAC","2DD0323E907811EFF407FFEBDF282EAC","2DD0323E907811EFF407FFEBDF282EAC","2DD0323E907811EFF407FFEBDF282EAC","2DD0323E907811EFF407FFEBDF282EAC","2DD0323E907811EFF407FFEBDF282EAC","2DD0323E907811EFF407FFEBDF282EAC","2DD0323E907811EFF407FFEBDF282EAC","2DD0323E907811EFF407FFEBDF282EAC","2DD0323E907811EFF407FFEBDF282EAC","2DD0323E907811EFF407FFEBDF282EAC","2DD0323E907811EFF407FFEBDF282EAC","2DD0323E907811EFF407FFEBDF282EAC","2DD0323E907811EFF407FFEBDF282EAC","2DD0323E907811EFF407FFEBDF282EAC","2DD0323E907811EFF407FFEBDF282EAC","2DD0323E907811EFF407FFEBDF282EAC","2DD0323E907811EFF407FFEBDF282EAC","2DD0323E907811EFF407FFEBDF282EAC","2DD0323E907811EFF407FFEBDF282EAC","EE8C0","EE8C0","EE8C0","EE910","EE910","EE910","E2533351907811EFF407FFEBDF282EAC","E2533351907811EFF407FFEBDF282EAC","E2533351907811EFF407FFEBDF282EAC","EE970","EE970","EE970","EE980","EE980","EE980","E253334E907811EFF407FFEBDF282EAC","E253334E907811EFF407FFEBDF282EAC","E253334E907811EFF407FFEBDF282EAC","E253319B907811EFF407FFEBDF282EAC","E253319B907811EFF407FFEBDF282EAC","E253319B907811EFF407FFEBDF282EAC","F01E0","F01E0","F01E0","E253334F907811EFF407FFEBDF282EAC","E253334F907811EFF407FFEBDF282EAC","E253334F907811EFF407FFEBDF282EAC","F1C80","F1C80","F1C80","EE9D0","EE9D0","EE9D0","E2533350907811EFF407FFEBDF282EAC","E2533350907811EFF407FFEBDF282EAC","E2533350907811EFF407FFEBDF282EAC","E253319C907811EFF407FFEBDF282EAC","E253319C907811EFF407FFEBDF282EAC","E253319C907811EFF407FFEBDF282EAC","EE950","EE950","EE950","EED30","EED30","EED30","F2640","F2640","F2640","F2610","F2610","F2610","F2150","F2150","F2150","F2660","F2660","F2660","F2680","F2680","F2680"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),Z,Y,X,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,Z,Y,X,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-99.735985,-8.793826,-141.498932,431.101715,1533.628906,-6.805015,0.796416,469.327148,1531.154297,41.380707,0.000000,365.441498,1519.520874,-42.106628,0.000000,463.498016,1483.949829,12.357994,0.889206,389.325165,1559.487549,-38.896492,0.000000,483.876526,1537.928955,12.056521,0.637806,470.247803,1578.340942,2.077086,0.786038,428.426331,1586.039429,-16.819008,0.000000,378.671326,1472.609741,-24.490244,0.000000,-0.020018,-0.050820,0.066325,399.997864,1529.234009,1.623911,0.241792,407.246063,1468.995361,-8.842938,0.926643,423.348114,1601.757324,-2.929586,0.980482,380.928741,1582.545166,-0.211007,0.000000,393.809357,1475.900879,21.091946,0.956314,355.367523,1494.292725,11.626203,0.898107,351.744843,1539.263916,-0.077609,0.000000,342.135498,1542.147339,-18.495386,0.000000,469.512878,1578.654785,1.763970,0.000000,475.887726,1479.548462,10.689604,0.000000,406.953094,1468.991699,-8.826733,423.299316,1601.710571,-2.890490,,,,393.805908,1476.053833,21.176390,355.731476,1494.185059,11.477709,,,,,,,463.257233,1484.299194,12.230175,,,,485.000214,1537.152344,12.539297,469.500214,1578.638062,1.785092,,,,,,,385.622803,1582.324585,0.164598,362.135468,1536.206055,-0.521332,,,,,,,,,,,,,,,
1,0.008333,-99.724464,-8.784927,-141.465820,431.115021,1533.614014,-6.839453,0.784601,469.312805,1531.147705,41.368633,0.000000,365.479675,1519.489014,-42.180527,0.000000,463.514404,1483.943115,12.339822,0.889206,389.349915,1559.462402,-38.954063,0.000000,483.877472,1537.928345,12.053399,0.637806,470.242950,1578.336792,2.068223,0.786038,428.430389,1586.024292,-16.852058,0.000000,378.712738,1472.580688,-24.559006,0.000000,-0.022731,-0.039837,0.067789,399.980652,1529.219116,1.626633,0.214441,407.223999,1468.980347,-8.843150,0.926643,423.333496,1601.741333,-2.929480,0.980482,380.913727,1582.531250,-0.203264,0.000000,393.793365,1475.885742,21.094490,0.956314,355.350555,1494.279785,11.636584,0.898107,351.727783,1539.251343,-0.065381,0.000000,342.115051,1542.135620,-18.481245,0.000000,469.498047,1578.636475,1.754635,0.000000,475.869904,1479.529785,10.676506,0.000000,406.952454,1468.989014,-8.824587,423.309692,1601.705200,-2.895320,,,,393.798584,1476.054565,21.164377,355.652100,1494.132446,11.507988,,,,,,,463.276978,1484.280518,12.214632,,,,484.985840,1537.155640,12.531132,469.507477,1578.643433,1.778618,,,,,,,385.620483,1582.317383,0.158399,362.131012,1536.207642,-0.527024,436.405060,1559.546143,-82.524063,,,,,,,,,,,,
2,0.016667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.024852,-0.046585,0.062405,399.977173,1529.209595,1.620486,0.215134,407.219543,1468.969604,-8.842780,0.931917,423.333221,1601.730469,-2.939696,0.986219,380.912445,1582.522095,-0.216668,0.000000,393.785583,1475.878296,21.092628,0.954307,355.344604,1494.272705,11.628469,0.910148,351.724854,1539.243408,-0.078152,0.000000,342.114410,1542.126343,-18.495419,0.000000,469.496368,1578.624512,1.752026,0.000000,475.863525,1479.518188,10.683966,0.000000,406.960083,1468.975708,-8.826137,423.309509,1601.692139,-2.905656,,,,393.779236,1476.054565,21.156139,355.646118,1494.123657,11.508703,,,,,,,463.276550,1484.279663,12.217062,,,,485.004974,1537.151123,12.539506,469.515961,1578.635620,1.768747,,,,,,,385.610809,1582.316040,0.153422,362.152649,1536.202148,-0.512302,436.408752,1559.532227,-82.554939,,,,,,,,,,,,
3,0.025000,0.083993,-0.279784,0.004209,404.135468,1528.837891,5.359494,0.274902,407.680420,1469.004883,-8.662204,0.000000,423.387543,1601.743164,-3.047956,0.000000,450.020386,1489.690430,21.069820,0.892221,380.974060,1582.439819,-0.488726,0.000000,394.011810,1475.827759,21.071695,0.641727,355.421417,1494.200562,11.496617,0.788047,352.015839,1539.049438,-0.434593,0.000000,469.572083,1578.747314,1.871300,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406.954712,1468.976929,-8.832097,,,,,,,,,,,,,,,,423.316681,1601.691650,-2.922148,463.222565,1484.289063,12.222919,,,,485.005432,1537.143799,12.531816,355.796570,1494.151978,11.394978,,,,469.510773,1578.633789,1.771420,385.617493,1582.304565,0.159383,362.130585,1536.201538,-0.522017,436.406738,1559.537598,-82.551956,459.272400,1565.232788,-18.501282,,,,,,,,,
4,0.033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.000250,-0.202248,0.040026,400.022827,1529.227173,1.588557,0.303237,407.319366,1468.986206,-8.831397,0.934984,423.360168,1601.756226,-2.936568,0.985869,380.940338,1582.530884,-0.321268,0.000000,393.801208,1475.900757,21.064699,0.953123,355.378204,1494.275146,11.488936,0.910741,351.771027,1539.239624,-0.245091,0.000000,342.209412,1542.111206,-18.689526,0.000000,469.520264,1578.671753,1.889599,0.000000,475.905548,1479.571777,10.877628,0.000000,406.979858,1468.986572,-8.804798,423.300385,1601.706665,-2.893800,,,,393.762695,1476.075317,21.147732,355.848083,1494.141113,11.323929,,,,,,,463.334930,1484.202637,12.141105,,,,485.013977,1537.139771,12.535482,469.495850,1578.641235,1.761964,,,,,,,385.595581,1582.311523,0.155449,362.133759,1536.191406,-0.525355,436.411896,1559.530273,-82.556244,,,,,,,,,,,,
5,0.041667,0.098523,-0.319202,-0.005724,404.130371,1528.848999,5.351402,0.305918,407.700104,1469.014404,-8.657537,0.000000,423.369812,1601.757690,-3.055362,0.961664,450.014343,1489.715820,21.100050,0.000000,380.959442,1582.444092,-0.521996,0.000000,394.009277,1475.839111,21.065767,0.918802,355.420868,1494.200317,11.460965,0.902073,352.012177,1539.046265,-0.480314,0.000000,469.556763,1578.774170,1.899642,0.959216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406.977173,1468.987427,-8.787274,,,,,,,,,,,,,,,,423.290527,1601.699707,-2.907077,,,,,,,485.021118,1537.150391,12.532383,355.843292,1494.145752,11.334658,,,,469.488861,1578.649292,1.780350,385.610901,1582.310181,0.148326,362.131775,1536.202637,-0.520915,,,,,,,,,,,,,,,
