Format Version,1.23,Take Name,robot-base,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-12-09 02.03.26.882 PM,Total Frames in Take,172,Total Exported Frames,172,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,robot-base,robot-base,robot-base,robot-base,robot-base,robot-base,robot-base
,ID,"9CE1C4A6B62B11EFF407FFEBDF282EAC","9CE1C4A6B62B11EFF407FFEBDF282EAC","9CE1C4A6B62B11EFF407FFEBDF282EAC","9CE1C4A6B62B11EFF407FFEBDF282EAC","9CE1C4A6B62B11EFF407FFEBDF282EAC","9CE1C4A6B62B11EFF407FFEBDF282EAC","9CE1C4A6B62B11EFF407FFEBDF282EAC"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
9,0.075000,0.504534,0.494477,0.498334,-0.502595,-143.089432,912.756287,-619.821838
10,0.083333,0.504610,0.494533,0.498299,-0.502498,-143.095688,912.753906,-619.821167
11,0.091667,0.504620,0.494689,0.498144,-0.502488,-143.102173,912.743347,-619.824219
12,0.100000,0.504536,0.494473,0.498335,-0.502596,-143.089096,912.755615,-619.820984
13,0.108333,0.504550,0.494497,0.498318,-0.502574,-143.088486,912.747864,-619.820068
14,0.116667,0.504612,0.494675,0.498153,-0.502500,-143.102463,912.747742,-619.824524
15,0.125000,0.504544,0.494481,0.498329,-0.502585,-143.087402,912.757263,-619.818909
16,0.133333,0.504617,0.494672,0.498157,-0.502494,-143.099106,912.751526,-619.822937
17,0.141667,0.504552,0.494483,0.498324,-0.502580,-143.088333,912.752991,-619.818054
18,0.150000,0.504623,0.494679,0.498143,-0.502495,-143.101608,912.745850,-619.820862
19,0.158333,0.504543,0.494481,0.498327,-0.502588,-143.086288,912.756836,-619.814270
20,0.166667,0.504552,0.494479,0.498331,-0.502578,-143.087341,912.755188,-619.815674
21,0.175000,0.504546,0.494478,0.498331,-0.502585,-143.090317,912.758362,-619.817322
22,0.183333,0.504624,0.494680,0.498150,-0.502486,-143.098038,912.745605,-619.822266
23,0.191667,0.504472,0.494363,0.498465,-0.502640,-143.070251,912.758545,-619.803345
24,0.200000,0.504612,0.494672,0.498158,-0.502498,-143.098999,912.748962,-619.822021
25,0.208333,0.504551,0.494490,0.498321,-0.502577,-143.088593,912.747864,-619.818726
26,0.216667,0.504537,0.494499,0.498329,-0.502575,-143.088074,912.750671,-619.818665
27,0.225000,0.504494,0.494372,0.498451,-0.502623,-143.069122,912.762390,-619.802002
28,0.233333,0.504779,0.494863,0.497987,-0.502312,-143.104874,912.724548,-619.786438
29,0.241667,0.504548,0.494469,0.498339,-0.502583,-143.088776,912.757629,-619.818359
30,0.250000,0.504561,0.494482,0.498324,-0.502572,-143.087021,912.756531,-619.817749
31,0.258333,0.504554,0.494487,0.498317,-0.502580,-143.092010,912.755127,-619.817871
32,0.266667,0.504544,0.494494,0.498324,-0.502577,-143.088379,912.750671,-619.821106
33,0.275000,0.504532,0.494484,0.498334,-0.502589,-143.087173,912.757202,-619.821594
34,0.283333,0.504536,0.494488,0.498329,-0.502586,-143.092819,912.754822,-619.823608
