Format Version,1.23,Take Name,2-cold-tt,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-02-12 04.04.34.463 PM,Total Frames in Take,9386,Total Exported Frames,9386,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,camera,camera,camera,camera,camera,camera,camera
,ID,"AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),qX,qY,qZ,qW,X,Y,Z
0,0.000000,-0.361192,-0.349559,0.622890,-0.599463,203.426331,1361.869751,-638.311279
1,0.008333,-0.361170,-0.349553,0.622900,-0.599471,203.429672,1361.871704,-638.310181
2,0.016667,-0.361318,-0.349566,0.622868,-0.599407,203.403305,1361.865967,-638.318176
3,0.025000,-0.361236,-0.349571,0.622876,-0.599445,203.417969,1361.864258,-638.315674
4,0.033333,-0.361279,-0.349563,0.622878,-0.599421,203.410385,1361.868286,-638.317017
5,0.041667,-0.361282,-0.349567,0.622878,-0.599418,203.410309,1361.867432,-638.317383
6,0.050000,-0.361286,-0.349571,0.622874,-0.599417,203.409790,1361.866333,-638.317871
7,0.058333,-0.361285,-0.349571,0.622868,-0.599424,203.410294,1361.865356,-638.317749
8,0.066667,-0.361279,-0.349576,0.622866,-0.599427,203.410782,1361.864868,-638.317749
9,0.075000,-0.361276,-0.349577,0.622865,-0.599429,203.411163,1361.863892,-638.317505
10,0.083333,-0.361273,-0.349579,0.622864,-0.599431,203.411774,1361.862305,-638.317627
11,0.091667,-0.361236,-0.349571,0.622876,-0.599445,203.417969,1361.864258,-638.315674
12,0.100000,-0.361236,-0.349575,0.622870,-0.599448,203.418594,1361.863892,-638.315247
13,0.108333,-0.361241,-0.349577,0.622871,-0.599443,203.417221,1361.864014,-638.315430
14,0.116667,-0.361204,-0.349570,0.622885,-0.599455,203.423111,1361.866089,-638.313660
15,0.125000,-0.361175,-0.349569,0.622896,-0.599462,203.428238,1361.868408,-638.312134
16,0.133333,-0.361180,-0.349568,0.622893,-0.599463,203.426819,1361.866943,-638.312073
17,0.141667,-0.361152,-0.349562,0.622902,-0.599474,203.431473,1361.869019,-638.310913
18,0.150000,-0.361128,-0.349561,0.622910,-0.599481,203.435806,1361.871582,-638.309875
19,0.158333,-0.361138,-0.349569,0.622902,-0.599478,203.434631,1361.869873,-638.311157
20,0.166667,-0.361158,-0.349573,0.622897,-0.599469,203.431763,1361.868652,-638.312378
21,0.175000,-0.361132,-0.349566,0.622907,-0.599478,203.435410,1361.870483,-638.311035
22,0.183333,-0.361112,-0.349565,0.622912,-0.599486,203.439331,1361.872314,-638.310425
23,0.191667,-0.361097,-0.349561,0.622917,-0.599492,203.442566,1361.873901,-638.309998
24,0.200000,-0.361077,-0.349557,0.622924,-0.599499,203.445801,1361.875732,-638.309326
25,0.208333,-0.361070,-0.349561,0.622929,-0.599496,203.447571,1361.878052,-638.309448
26,0.216667,-0.361091,-0.349561,0.622924,-0.599488,203.443283,1361.876831,-638.310181
27,0.225000,-0.361070,-0.349554,0.622933,-0.599495,203.445877,1361.878418,-638.308655
28,0.233333,-0.361099,-0.349557,0.622923,-0.599487,203.441635,1361.876831,-638.309204
29,0.241667,-0.361080,-0.349552,0.622931,-0.599493,203.444016,1361.878296,-638.307373
30,0.250000,-0.361063,-0.349550,0.622938,-0.599497,203.446838,1361.879883,-638.306519
31,0.258333,-0.361082,-0.349553,0.622930,-0.599492,203.443390,1361.877930,-638.307434
32,0.266667,-0.361065,-0.349548,0.622938,-0.599497,203.445923,1361.879150,-638.305603
33,0.275000,-0.361049,-0.349543,0.622946,-0.599501,203.447968,1361.879517,-638.304077
34,0.283333,-0.361043,-0.349545,0.622951,-0.599498,203.449371,1361.880737,-638.303894
35,0.291667,-0.361032,-0.349538,0.622956,-0.599504,203.451508,1361.881348,-638.302917
36,0.300000,-0.361024,-0.349535,0.622957,-0.599509,203.453232,1361.882690,-638.301453
37,0.308333,-0.361025,-0.349539,0.622958,-0.599506,203.454163,1361.883789,-638.302002
38,0.316667,-0.361016,-0.349537,0.622960,-0.599510,203.455734,1361.884399,-638.301453
39,0.325000,-0.361041,-0.349543,0.622947,-0.599505,203.451569,1361.881348,-638.302979
40,0.333333,-0.361073,-0.349553,0.622936,-0.599491,203.446854,1361.879272,-638.304626
41,0.341667,-0.361094,-0.349559,0.622927,-0.599485,203.443283,1361.876709,-638.305786
42,0.350000,-0.361118,-0.349566,0.622919,-0.599475,203.439102,1361.875244,-638.307312
43,0.358333,-0.361133,-0.349568,0.622910,-0.599473,203.435898,1361.872681,-638.308167
44,0.366667,-0.361116,-0.349566,0.622916,-0.599478,203.438751,1361.874146,-638.307617
45,0.375000,-0.361139,-0.349569,0.622911,-0.599468,203.434845,1361.872559,-638.308655
46,0.383333,-0.361152,-0.349573,0.622904,-0.599466,203.432404,1361.871216,-638.309204
47,0.391667,-0.361169,-0.349575,0.622900,-0.599458,203.429108,1361.870483,-638.309998
48,0.400000,-0.361184,-0.349573,0.622896,-0.599454,203.426300,1361.870483,-638.309875
49,0.408333,-0.361195,-0.349573,0.622892,-0.599452,203.424286,1361.869019,-638.309998
50,0.416667,-0.361168,-0.349567,0.622903,-0.599460,203.428452,1361.871094,-638.308533
51,0.425000,-0.361179,-0.349564,0.622893,-0.599465,203.426971,1361.869873,-638.308350
52,0.433333,-0.361160,-0.349564,0.622898,-0.599472,203.431168,1361.871094,-638.308167
53,0.441667,-0.361182,-0.349568,0.622891,-0.599463,203.428375,1361.869751,-638.309937
54,0.450000,-0.361191,-0.349569,0.622886,-0.599463,203.426361,1361.868164,-638.311035
55,0.458333,-0.361199,-0.349573,0.622882,-0.599460,203.424850,1361.867065,-638.311829
56,0.466667,-0.361181,-0.349573,0.622891,-0.599462,203.428589,1361.869385,-638.312012
57,0.475000,-0.361165,-0.349572,0.622899,-0.599463,203.431229,1361.871704,-638.311829
58,0.483333,-0.361144,-0.349561,0.622909,-0.599472,203.433792,1361.873779,-638.309387
59,0.491667,-0.361156,-0.349560,0.622904,-0.599470,203.431152,1361.872314,-638.309692
60,0.500000,-0.361166,-0.349559,0.622901,-0.599468,203.428528,1361.870850,-638.310059
