#timestamp qx qy qz qw px py pz
1738060994.016666889 0.499713 0.499584 0.50061 -0.500093 208.424484 861.453552 -797.324463
1738060994.025000095 0.499675 0.499592 0.500623 -0.50011 208.430939 861.459778 -797.320862
1738060994.033333063 0.499781 0.499677 0.500477 -0.500065 208.425308 861.447815 -797.338623
1738060994.041666985 0.499693 0.499591 0.500618 -0.500097 208.427292 861.450317 -797.325073
1738060994.049999952 0.499698 0.499591 0.500617 -0.500093 208.427399 861.451172 -797.325378
1738060994.058332920 0.499714 0.499595 0.500611 -0.500079 208.429016 861.451721 -797.323486
1738060994.066667080 0.499696 0.499586 0.500615 -0.500102 208.426056 861.452576 -797.324585
1738060994.075000048 0.499705 0.499587 0.500609 -0.500098 208.427673 861.448608 -797.32251
1738060994.083333015 0.499707 0.499594 0.500611 -0.500087 208.429871 861.448486 -797.326721
1738060994.091666937 0.499713 0.499586 0.500614 -0.500086 208.426682 861.446594 -797.324768
1738060994.099999905 0.499706 0.499583 0.500617 -0.500093 208.425171 861.445435 -797.323303
1738060994.108333111 0.499705 0.499586 0.500601 -0.500107 208.424423 861.452393 -797.322632
1738060994.116667032 0.499702 0.499579 0.500614 -0.500105 208.425034 861.451721 -797.325012
1738060994.125000000 0.499706 0.499581 0.500601 -0.500111 208.424515 861.451355 -797.326599
1738060994.133332968 0.499709 0.499598 0.500602 -0.50009 208.425964 861.444885 -797.327881
1738060994.141666889 0.499702 0.499586 0.50061 -0.500101 208.424103 861.4505 -797.326538
1738060994.150000095 0.499714 0.499584 0.500606 -0.500095 208.426575 861.451721 -797.323669
1738060994.158333063 0.499744 0.499683 0.500476 -0.500097 208.42366 861.456116 -797.3396
1738060994.166666985 0.499704 0.499585 0.500609 -0.500101 208.424133 861.455505 -797.326477
1738060994.174999952 0.499718 0.499583 0.500597 -0.500102 208.427338 861.452637 -797.324829
1738060994.183332920 0.49976 0.499666 0.500479 -0.500095 208.423798 861.45282 -797.342163
1738060994.191667080 0.499695 0.499584 0.500609 -0.500111 208.424454 861.452026 -797.328979
1738060994.200000048 0.499707 0.499588 0.5006 -0.500105 208.42627 861.453613 -797.32312
1738060994.208333015 0.499774 0.499667 0.500473 -0.500086 208.423386 861.446167 -797.342346
1738060994.216666937 0.499689 0.499547 0.500632 -0.500132 208.42482 861.463684 -797.324341
1738060994.224999905 0.49976 0.499677 0.500466 -0.500096 208.423843 861.449219 -797.346252
1738060994.233333111 0.499761 0.499678 0.500474 -0.500087 208.418991 861.439148 -797.347839
1738060994.241667032 0.49978 0.499677 0.500473 -0.500069 208.418488 861.443176 -797.34552
1738060994.250000000 0.49968 0.499562 0.500636 -0.500122 208.422974 861.456787 -797.323975
1738060994.258332968 0.499771 0.499671 0.500475 -0.500083 208.420883 861.452454 -797.344971
1738060994.266666889 0.499719 0.499599 0.500583 -0.500098 208.426025 861.45929 -797.333191
1738060994.275000095 0.499797 0.499392 0.500557 -0.500254 208.372589 861.509949 -797.309326
1738060994.283333063 0.499722 0.499585 0.500608 -0.500084 208.425293 861.442322 -797.327148
1738060994.291666985 0.499721 0.499574 0.500623 -0.500081 208.426849 861.456055 -797.322632
1738060994.299999952 0.499726 0.49959 0.500601 -0.500083 208.424301 861.464783 -797.321533
1738060994.308332920 0.499729 0.499605 0.500591 -0.500075 208.424179 861.459656 -797.325867
1738060994.316667080 0.499775 0.499385 0.500632 -0.500208 208.385147 861.490356 -797.298828
1738060994.325000048 0.499717 0.499583 0.500631 -0.500068 208.425629 861.451904 -797.320374
1738060994.333333015 0.499726 0.499572 0.500631 -0.500071 208.427734 861.442383 -797.325378
1738060994.341666937 0.499686 0.499579 0.500642 -0.500093 208.424164 861.452881 -797.325256
1738060994.349999905 0.499643 0.499586 0.500649 -0.500121 208.420654 861.472351 -797.322388
1738060994.358333111 0.499706 0.49958 0.500628 -0.500085 208.426086 861.449219 -797.326538
1738060994.366667032 0.499551 0.499438 0.500773 -0.500236 208.425888 861.455933 -797.343933
1738060994.375000000 0.499691 0.499577 0.500639 -0.500092 208.423599 861.445984 -797.319397
1738060994.383332968 0.499694 0.499575 0.500624 -0.500106 208.427704 861.451233 -797.319031
1738060994.391666889 0.499683 0.499594 0.500607 -0.500116 208.424789 861.448242 -797.323608
1738060994.400000095 0.499693 0.499585 0.500619 -0.500103 208.42836 861.440796 -797.321228
1738060994.408333063 0.499776 0.499673 0.500471 -0.500081 208.42659 861.431213 -797.333862
1738060994.416666985 0.499749 0.499683 0.500474 -0.500094 208.42514 861.435181 -797.330688
1738060994.424999952 0.499617 0.499554 0.500591 -0.500237 208.428741 861.458008 -797.35968
1738060994.433332920 0.499761 0.499694 0.500442 -0.500102 208.431381 861.440613 -797.341797
1738060994.441667080 0.499708 0.499667 0.500477 -0.500147 208.435593 861.449829 -797.332275
1738060994.450000048 0.499758 0.4997 0.500442 -0.500099 208.429321 861.448975 -797.33075
1738060994.458333015 0.499805 0.499712 0.500407 -0.500076 208.432587 861.447876 -797.337524
1738060994.466666937 0.499771 0.499698 0.500421 -0.500109 208.432007 861.447266 -797.344604
1738060994.474999905 0.499771 0.499688 0.500432 -0.500109 208.430649 861.4505 -797.342468
1738060994.483333111 0.499816 0.499684 0.500428 -0.500071 208.431625 861.456543 -797.34436
1738060994.491667032 0.499827 0.499708 0.500405 -0.50006 208.429077 861.451233 -797.344727
1738060994.500000000 0.499823 0.499682 0.50043 -0.500064 208.425339 861.451477 -797.348511
1738060994.508332968 0.499818 0.49969 0.500425 -0.500067 208.427887 861.453735 -797.35144
1738060994.516666889 0.499837 0.499699 0.500425 -0.500039 208.430603 861.45282 -797.351257
1738060994.525000095 0.499717 0.499602 0.500585 -0.500096 208.425964 861.466003 -797.337708
1738060994.533333063 0.499667 0.499578 0.500634 -0.500121 208.424026 861.477356 -797.333252
1738060994.541666985 0.499734 0.49958 0.500607 -0.500079 208.42955 861.46051 -797.341858
1738060994.549999952 0.499714 0.499568 0.500641 -0.500077 208.424225 861.460632 -797.341797
1738060994.558332920 0.499697 0.499572 0.500641 -0.50009 208.417404 861.459473 -797.344055
1738060994.566667080 0.499688 0.499565 0.500643 -0.500103 208.415573 861.464783 -797.343323
1738060994.575000048 0.499693 0.499566 0.500647 -0.500092 208.41803 861.454651 -797.344238
1738060994.583333015 0.499532 0.499423 0.500803 -0.500241 208.418488 861.470581 -797.367004
1738060994.591666937 0.499523 0.499418 0.5008 -0.500257 208.42041 861.463867 -797.364136
1738060994.599999905 0.499535 0.499448 0.500761 -0.500254 208.415451 861.468262 -797.363281
1738060994.608333111 0.499652 0.499589 0.500627 -0.500131 208.414368 861.441284 -797.336548
1738060994.616667032 0.49951 0.499447 0.500776 -0.500265 208.426987 861.457581 -797.352356
1738060994.625000000 0.499576 0.499553 0.500621 -0.500249 208.425842 861.463257 -797.361755
1738060994.633332968 0.499743 0.499691 0.500451 -0.500114 208.422928 861.441772 -797.338135
1738060994.641666889 0.49973 0.499691 0.500455 -0.500123 208.428741 861.440247 -797.333801
1738060994.650000095 0.499767 0.499723 0.500422 -0.500088 208.435104 861.437927 -797.328979
1738060994.658333063 0.499721 0.499719 0.500446 -0.500113 208.437424 861.446411 -797.316223
1738060994.666666985 0.499763 0.499707 0.500434 -0.500096 208.43779 861.435913 -797.321167
1738060994.674999952 0.499801 0.4997 0.500419 -0.50008 208.438873 861.440674 -797.320374
1738060994.683332920 0.499818 0.49971 0.50041 -0.500061 208.43924 861.442749 -797.316895
1738060994.691667080 0.499853 0.499448 0.500494 -0.500204 208.393692 861.490173 -797.289734
1738060994.700000048 0.49985 0.499691 0.50043 -0.500029 208.441727 861.435303 -797.319641
1738060994.708333015 0.499863 0.4997 0.500418 -0.500019 208.440567 861.441223 -797.317322
1738060994.716666937 0.499861 0.499697 0.50042 -0.500022 208.433609 861.447937 -797.322144
1738060994.724999905 0.499857 0.499699 0.500413 -0.50003 208.427963 861.453308 -797.324768
1738060994.733333111 0.499772 0.499588 0.500587 -0.500053 208.431839 861.4552 -797.314697
1738060994.741667032 0.499787 0.499587 0.500587 -0.500038 208.4328 861.445984 -797.320129
1738060994.750000000 0.499737 0.49955 0.500633 -0.500079 208.422058 861.457397 -797.324402
1738060994.758332968 0.499706 0.499587 0.500615 -0.500092 208.414383 861.466187 -797.329895
1738060994.766666889 0.499706 0.499573 0.50063 -0.500091 208.407898 861.461731 -797.33728
1738060994.775000095 0.499694 0.499561 0.500652 -0.500093 208.411636 861.453186 -797.337646
1738060994.783333063 0.499666 0.499557 0.500663 -0.500113 208.412842 861.453003 -797.341064
1738060994.791666985 0.499657 0.499568 0.500655 -0.500119 208.406036 861.454224 -797.343506
1738060994.799999952 0.499499 0.499448 0.500784 -0.500267 208.406708 861.469055 -797.365845
1738060994.808332920 0.499654 0.499588 0.500641 -0.500116 208.410049 861.446167 -797.346313
1738060994.816667080 0.499517 0.499425 0.500791 -0.500266 208.418381 861.463562 -797.364929
1738060994.825000048 0.499509 0.499446 0.500772 -0.500271 208.417999 861.462952 -797.359253
