#timestamp qx qy qz qw px py pz
1738148108.000000000 -0.329835 -0.448378 0.487635 -0.672591 65.280296 1238.922852 -448.159393
1738148108.025000095 -0.329796 -0.448402 0.487644 -0.672587 65.282005 1238.919922 -448.15921
1738148108.033333063 -0.329828 -0.448416 0.487613 -0.672585 65.281525 1238.921021 -448.164673
1738148108.041666985 -0.329792 -0.448373 0.48767 -0.67259 65.27948 1238.922974 -448.161438
1738148108.049999952 -0.329816 -0.448415 0.487635 -0.672575 65.282372 1238.927734 -448.165802
1738148108.058332920 -0.329808 -0.448394 0.487623 -0.672602 65.276321 1238.92688 -448.167938
1738148108.066667080 -0.329808 -0.448404 0.487623 -0.672595 65.282654 1238.92749 -448.169281
1738148108.075000048 -0.329798 -0.448386 0.487631 -0.672606 65.281792 1238.921997 -448.166992
1738148108.083333015 -0.3298 -0.448398 0.487639 -0.672591 65.287376 1238.924194 -448.165802
1738148108.091666937 -0.329784 -0.448382 0.487641 -0.672609 65.285774 1238.923218 -448.168884
1738148108.099999905 -0.329816 -0.448382 0.487629 -0.672601 65.282883 1238.925537 -448.169617
1738148108.108333111 -0.329811 -0.448412 0.487627 -0.672586 65.280197 1238.927246 -448.16983
1738148108.116667032 -0.329792 -0.448381 0.487628 -0.672614 65.279663 1238.924072 -448.167542
1738148108.125000000 -0.329805 -0.448384 0.487625 -0.672608 65.280365 1238.923706 -448.168701
1738148108.133332968 -0.329798 -0.448395 0.487627 -0.672603 65.281105 1238.922852 -448.167389
1738148108.141666889 -0.329795 -0.448378 0.487653 -0.672597 65.281227 1238.923584 -448.163971
1738148108.150000095 -0.32982 -0.44835 0.487633 -0.672619 65.281456 1238.924316 -448.166992
1738148108.158333063 -0.329812 -0.448359 0.487625 -0.672623 65.279396 1238.921875 -448.167236
1738148108.166666985 -0.329816 -0.448383 0.487626 -0.672603 65.280655 1238.923218 -448.162933
1738148108.174999952 -0.329817 -0.448372 0.487621 -0.672614 65.279732 1238.918579 -448.162781
1738148108.183332920 -0.329819 -0.448381 0.487627 -0.672602 65.279854 1238.921631 -448.161224
1738148108.191667080 -0.329809 -0.448362 0.487623 -0.672622 65.277649 1238.917847 -448.16156
1738148108.200000048 -0.329816 -0.448347 0.487628 -0.672626 65.273888 1238.917969 -448.161163
1738148108.208333015 -0.329821 -0.448363 0.487633 -0.672609 65.277946 1238.916748 -448.156464
1738148108.216666937 -0.329833 -0.448358 0.487636 -0.672604 65.277618 1238.915405 -448.158173
1738148108.224999905 -0.329822 -0.448364 0.487635 -0.672607 65.277878 1238.91626 -448.157166
1738148108.233333111 -0.329836 -0.448353 0.487634 -0.672607 65.278008 1238.914917 -448.156281
1738148108.241667032 -0.329831 -0.448375 0.487636 -0.672594 65.278252 1238.914795 -448.154266
1738148108.250000000 -0.329833 -0.44835 0.487622 -0.67262 65.277382 1238.916626 -448.154266
1738148108.258332968 -0.329801 -0.448354 0.487637 -0.672623 65.273476 1238.912598 -448.150421
1738148108.266666889 -0.329816 -0.448356 0.48763 -0.672618 65.277107 1238.911743 -448.153839
1738148108.275000095 -0.329838 -0.448379 0.487628 -0.672593 65.280266 1238.913696 -448.151031
1738148108.283333063 -0.329834 -0.448384 0.487626 -0.672594 65.279305 1238.913818 -448.151947
1738148108.291666985 -0.32983 -0.448391 0.487621 -0.672594 65.281342 1238.915771 -448.15152
1738148108.299999952 -0.32984 -0.448383 0.487624 -0.672592 65.278633 1238.91687 -448.152863
1738148108.308332920 -0.329807 -0.448386 0.487643 -0.672594 65.276802 1238.912476 -448.15036
1738148108.316667080 -0.329825 -0.448364 0.48763 -0.672608 65.27919 1238.914795 -448.15329
1738148108.325000048 -0.329821 -0.448373 0.487629 -0.672605 65.281067 1238.915161 -448.155914
1738148108.333333015 -0.329823 -0.448375 0.487637 -0.672597 65.280098 1238.916626 -448.157104
