Format Version,1.23,Take Name,prueba_short,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-01-29 10.55.08.948 AM,Total Frames in Take,15990,Total Exported Frames,15990,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,camera,camera,camera,camera,camera,camera,camera
,ID,"AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),qX,qY,qZ,qW,X,Y,Z
0,0.000000,-0.329835,-0.448378,0.487635,-0.672591,65.280296,1238.922852,-448.159393
1,0.008333,,,,,,,
2,0.016667,,,,,,,
3,0.025000,-0.329796,-0.448402,0.487644,-0.672587,65.282005,1238.919922,-448.159210
4,0.033333,-0.329828,-0.448416,0.487613,-0.672585,65.281525,1238.921021,-448.164673
5,0.041667,-0.329792,-0.448373,0.487670,-0.672590,65.279480,1238.922974,-448.161438
6,0.050000,-0.329816,-0.448415,0.487635,-0.672575,65.282372,1238.927734,-448.165802
7,0.058333,-0.329808,-0.448394,0.487623,-0.672602,65.276321,1238.926880,-448.167938
8,0.066667,-0.329808,-0.448404,0.487623,-0.672595,65.282654,1238.927490,-448.169281
9,0.075000,-0.329798,-0.448386,0.487631,-0.672606,65.281792,1238.921997,-448.166992
10,0.083333,-0.329800,-0.448398,0.487639,-0.672591,65.287376,1238.924194,-448.165802
11,0.091667,-0.329784,-0.448382,0.487641,-0.672609,65.285774,1238.923218,-448.168884
12,0.100000,-0.329816,-0.448382,0.487629,-0.672601,65.282883,1238.925537,-448.169617
13,0.108333,-0.329811,-0.448412,0.487627,-0.672586,65.280197,1238.927246,-448.169830
14,0.116667,-0.329792,-0.448381,0.487628,-0.672614,65.279663,1238.924072,-448.167542
15,0.125000,-0.329805,-0.448384,0.487625,-0.672608,65.280365,1238.923706,-448.168701
16,0.133333,-0.329798,-0.448395,0.487627,-0.672603,65.281105,1238.922852,-448.167389
17,0.141667,-0.329795,-0.448378,0.487653,-0.672597,65.281227,1238.923584,-448.163971
18,0.150000,-0.329820,-0.448350,0.487633,-0.672619,65.281456,1238.924316,-448.166992
19,0.158333,-0.329812,-0.448359,0.487625,-0.672623,65.279396,1238.921875,-448.167236
20,0.166667,-0.329816,-0.448383,0.487626,-0.672603,65.280655,1238.923218,-448.162933
21,0.175000,-0.329817,-0.448372,0.487621,-0.672614,65.279732,1238.918579,-448.162781
22,0.183333,-0.329819,-0.448381,0.487627,-0.672602,65.279854,1238.921631,-448.161224
23,0.191667,-0.329809,-0.448362,0.487623,-0.672622,65.277649,1238.917847,-448.161560
24,0.200000,-0.329816,-0.448347,0.487628,-0.672626,65.273888,1238.917969,-448.161163
25,0.208333,-0.329821,-0.448363,0.487633,-0.672609,65.277946,1238.916748,-448.156464
26,0.216667,-0.329833,-0.448358,0.487636,-0.672604,65.277618,1238.915405,-448.158173
27,0.225000,-0.329822,-0.448364,0.487635,-0.672607,65.277878,1238.916260,-448.157166
28,0.233333,-0.329836,-0.448353,0.487634,-0.672607,65.278008,1238.914917,-448.156281
29,0.241667,-0.329831,-0.448375,0.487636,-0.672594,65.278252,1238.914795,-448.154266
30,0.250000,-0.329833,-0.448350,0.487622,-0.672620,65.277382,1238.916626,-448.154266
31,0.258333,-0.329801,-0.448354,0.487637,-0.672623,65.273476,1238.912598,-448.150421
32,0.266667,-0.329816,-0.448356,0.487630,-0.672618,65.277107,1238.911743,-448.153839
33,0.275000,-0.329838,-0.448379,0.487628,-0.672593,65.280266,1238.913696,-448.151031
34,0.283333,-0.329834,-0.448384,0.487626,-0.672594,65.279305,1238.913818,-448.151947
35,0.291667,-0.329830,-0.448391,0.487621,-0.672594,65.281342,1238.915771,-448.151520
36,0.300000,-0.329840,-0.448383,0.487624,-0.672592,65.278633,1238.916870,-448.152863
37,0.308333,-0.329807,-0.448386,0.487643,-0.672594,65.276802,1238.912476,-448.150360
38,0.316667,-0.329825,-0.448364,0.487630,-0.672608,65.279190,1238.914795,-448.153290
39,0.325000,-0.329821,-0.448373,0.487629,-0.672605,65.281067,1238.915161,-448.155914
40,0.333333,-0.329823,-0.448375,0.487637,-0.672597,65.280098,1238.916626,-448.157104
41,0.341667,-0.329820,-0.448381,0.487641,-0.672592,65.277512,1238.915527,-448.154297
42,0.350000,-0.329809,-0.448362,0.487650,-0.672603,65.277458,1238.917358,-448.155884
43,0.358333,-0.329763,-0.448366,0.487635,-0.672634,65.285858,1238.922974,-448.157532
44,0.366667,-0.329809,-0.448376,0.487649,-0.672594,65.279091,1238.917480,-448.158417
45,0.375000,-0.329812,-0.448370,0.487636,-0.672606,65.283203,1238.920898,-448.161316
46,0.383333,-0.329823,-0.448385,0.487627,-0.672597,65.284256,1238.921875,-448.161652
47,0.391667,-0.329819,-0.448375,0.487630,-0.672605,65.285072,1238.921387,-448.164459
48,0.400000,-0.329796,-0.448381,0.487632,-0.672610,65.283417,1238.920532,-448.165253
49,0.408333,-0.329806,-0.448375,0.487642,-0.672602,65.283600,1238.922241,-448.164154
50,0.416667,-0.329794,-0.448370,0.487651,-0.672605,65.283531,1238.921875,-448.163818
51,0.425000,-0.329816,-0.448399,0.487609,-0.672605,65.279282,1238.926636,-448.168762
52,0.433333,-0.329819,-0.448405,0.487622,-0.672590,65.281586,1238.926025,-448.168304
53,0.441667,-0.329817,-0.448372,0.487635,-0.672603,65.281555,1238.923462,-448.170532
54,0.450000,-0.329805,-0.448409,0.487616,-0.672598,65.280876,1238.926270,-448.170624
55,0.458333,-0.329815,-0.448385,0.487628,-0.672601,65.282722,1238.923462,-448.171173
56,0.466667,-0.329809,-0.448410,0.487614,-0.672598,65.282433,1238.927124,-448.170715
57,0.475000,-0.329823,-0.448405,0.487614,-0.672593,65.276588,1238.927979,-448.169769
58,0.483333,-0.329777,-0.448398,0.487626,-0.672612,65.273643,1238.924194,-448.166901
59,0.491667,-0.329813,-0.448415,0.487617,-0.672590,65.279160,1238.924194,-448.169891
60,0.500000,-0.329792,-0.448374,0.487635,-0.672615,65.281937,1238.919800,-448.166351
61,0.508333,-0.329812,-0.448403,0.487614,-0.672600,65.278854,1238.923828,-448.165253
