Format Version,1.23,Take Name,setup1_cold_train,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-01-29 11.56.26.170 AM,Total Frames in Take,17289,Total Exported Frames,17289,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,camera,camera,camera,camera,camera,camera,camera
,ID,"AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.329610,-0.448128,0.487275,-0.673128,65.380211,1238.904663,-448.142578
1,0.008333,,,,,,,
2,0.016667,-0.329629,-0.448148,0.487254,-0.673121,65.381844,1238.905640,-448.139465
3,0.025000,-0.329617,-0.448126,0.487276,-0.673125,65.378494,1238.905396,-448.139099
4,0.033333,-0.329850,-0.448460,0.487611,-0.672546,65.282677,1238.918823,-448.142761
5,0.041667,-0.329852,-0.448459,0.487609,-0.672547,65.282234,1238.916138,-448.140472
6,0.050000,-0.329617,-0.448128,0.487265,-0.673132,65.378273,1238.902832,-448.138428
7,0.058333,-0.329621,-0.448141,0.487269,-0.673118,65.382584,1238.906372,-448.135864
8,0.066667,-0.329615,-0.448144,0.487269,-0.673120,65.381470,1238.905151,-448.136017
9,0.075000,-0.329623,-0.448140,0.487281,-0.673109,65.378784,1238.907715,-448.138977
10,0.083333,-0.329599,-0.448164,0.487267,-0.673115,65.382645,1238.905884,-448.139191
11,0.091667,-0.329611,-0.448150,0.487267,-0.673119,65.382553,1238.905029,-448.137848
12,0.100000,-0.329605,-0.448173,0.487266,-0.673107,65.383209,1238.904419,-448.139130
13,0.108333,-0.329607,-0.448142,0.487286,-0.673112,65.384727,1238.906982,-448.139191
14,0.116667,-0.329609,-0.448162,0.487276,-0.673106,65.383675,1238.906372,-448.139862
15,0.125000,-0.329849,-0.448477,0.487597,-0.672545,65.286758,1238.921265,-448.147827
16,0.133333,-0.329612,-0.448127,0.487277,-0.673126,65.386063,1238.909424,-448.144257
17,0.141667,-0.329601,-0.448137,0.487275,-0.673127,65.386452,1238.911011,-448.146271
18,0.150000,-0.329846,-0.448468,0.487586,-0.672561,65.292320,1238.924194,-448.152527
19,0.158333,-0.329607,-0.448140,0.487283,-0.673115,65.387459,1238.914429,-448.145935
20,0.166667,-0.329602,-0.448135,0.487285,-0.673120,65.384331,1238.915283,-448.146454
21,0.175000,-0.329590,-0.448121,0.487291,-0.673131,65.386665,1238.916504,-448.146729
22,0.183333,-0.329597,-0.448151,0.487278,-0.673117,65.385963,1238.914551,-448.148621
23,0.191667,-0.329594,-0.448153,0.487283,-0.673114,65.385796,1238.911255,-448.149506
24,0.200000,-0.329588,-0.448151,0.487273,-0.673125,65.384804,1238.913696,-448.148285
25,0.208333,-0.329594,-0.448132,0.487294,-0.673120,65.381317,1238.911621,-448.151306
26,0.216667,-0.329600,-0.448138,0.487286,-0.673118,65.385704,1238.913818,-448.154449
27,0.225000,-0.329594,-0.448131,0.487274,-0.673135,65.381317,1238.912109,-448.154572
28,0.233333,-0.329604,-0.448158,0.487276,-0.673110,65.385948,1238.913086,-448.153717
29,0.241667,-0.329841,-0.448476,0.487592,-0.672553,65.289886,1238.921509,-448.158752
30,0.250000,-0.329598,-0.448153,0.487285,-0.673110,65.384361,1238.910522,-448.152161
31,0.258333,-0.329599,-0.448155,0.487279,-0.673113,65.385391,1238.911865,-448.152985
32,0.266667,-0.329597,-0.448133,0.487289,-0.673121,65.386826,1238.915039,-448.152283
33,0.275000,-0.329590,-0.448141,0.487290,-0.673119,65.385834,1238.916016,-448.151306
34,0.283333,-0.329593,-0.448148,0.487277,-0.673122,65.386711,1238.912964,-448.148956
35,0.291667,-0.329595,-0.448142,0.487278,-0.673124,65.384682,1238.912231,-448.149750
36,0.300000,-0.329581,-0.448110,0.487284,-0.673147,65.384262,1238.910522,-448.145508
37,0.308333,-0.329584,-0.448122,0.487285,-0.673138,65.381920,1238.911865,-448.145813
38,0.316667,-0.329600,-0.448133,0.487289,-0.673120,65.382126,1238.912109,-448.146637
39,0.325000,-0.329598,-0.448126,0.487276,-0.673135,65.385590,1238.912842,-448.143005
40,0.333333,-0.329612,-0.448135,0.487267,-0.673129,65.385368,1238.911499,-448.143250
41,0.341667,-0.329615,-0.448137,0.487263,-0.673129,65.387962,1238.908569,-448.141632
42,0.350000,-0.329610,-0.448143,0.487273,-0.673120,65.387474,1238.909058,-448.141602
43,0.358333,-0.329622,-0.448133,0.487279,-0.673117,65.386322,1238.908569,-448.140564
44,0.366667,-0.329618,-0.448160,0.487261,-0.673113,65.387543,1238.908325,-448.139221
45,0.375000,-0.329617,-0.448147,0.487269,-0.673117,65.384956,1238.908081,-448.139221
46,0.383333,-0.329626,-0.448124,0.487277,-0.673121,65.384995,1238.906982,-448.137482
47,0.391667,-0.329617,-0.448148,0.487261,-0.673122,65.387276,1238.903442,-448.139374
48,0.400000,-0.329623,-0.448151,0.487264,-0.673115,65.382423,1238.907715,-448.138550
49,0.408333,-0.329617,-0.448125,0.487275,-0.673127,65.380363,1238.905640,-448.139618
50,0.416667,-0.329625,-0.448127,0.487264,-0.673129,65.379974,1238.906860,-448.139709
51,0.425000,-0.329619,-0.448148,0.487257,-0.673124,65.380341,1238.904053,-448.141602
52,0.433333,-0.329619,-0.448140,0.487266,-0.673123,65.377495,1238.903198,-448.140472
53,0.441667,-0.329614,-0.448141,0.487262,-0.673127,65.380836,1238.907959,-448.138519
54,0.450000,-0.329613,-0.448126,0.487277,-0.673126,65.380280,1238.907227,-448.141510
55,0.458333,-0.329613,-0.448118,0.487268,-0.673138,65.379723,1238.906128,-448.142517
56,0.466667,-0.329616,-0.448131,0.487276,-0.673123,65.380692,1238.910034,-448.142426
57,0.475000,-0.329619,-0.448135,0.487264,-0.673127,65.381607,1238.908447,-448.142365
58,0.483333,-0.329621,-0.448146,0.487272,-0.673113,65.382706,1238.905273,-448.142456
59,0.491667,-0.329602,-0.448132,0.487267,-0.673136,65.384026,1238.910645,-448.144592
60,0.500000,-0.329619,-0.448129,0.487266,-0.673130,65.381844,1238.911255,-448.147095
61,0.508333,-0.329607,-0.448140,0.487268,-0.673127,65.384247,1238.910889,-448.148041
