Format Version,1.23,Take Name,setup1_darkcold_train,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-01-29 12.00.53.813 PM,Total Frames in Take,16568,Total Exported Frames,16568,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,camera,camera,camera,camera,camera,camera,camera
,ID,"AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.329595,-0.448156,0.487277,-0.673116,65.385704,1238.913330,-448.140045
1,0.008333,-0.329598,-0.448153,0.487282,-0.673112,65.387772,1238.913940,-448.140747
2,0.016667,,,,,,,
3,0.025000,,,,,,,
4,0.033333,-0.329610,-0.448159,0.487272,-0.673109,65.389084,1238.915771,-448.140808
5,0.041667,-0.329609,-0.448163,0.487266,-0.673112,65.388268,1238.915161,-448.141876
6,0.050000,-0.329605,-0.448165,0.487269,-0.673110,65.387848,1238.914795,-448.141602
7,0.058333,-0.329611,-0.448151,0.487286,-0.673105,65.384201,1238.917847,-448.144531
8,0.066667,-0.329605,-0.448151,0.487279,-0.673112,65.386932,1238.916504,-448.143555
9,0.075000,-0.329600,-0.448140,0.487296,-0.673110,65.381943,1238.915649,-448.141327
10,0.083333,-0.329586,-0.448128,0.487289,-0.673130,65.384583,1238.915039,-448.143982
11,0.091667,-0.329614,-0.448169,0.487269,-0.673103,65.388275,1238.916260,-448.142517
12,0.100000,-0.329596,-0.448158,0.487278,-0.673113,65.387299,1238.914917,-448.141968
13,0.108333,-0.329583,-0.448145,0.487293,-0.673117,65.387802,1238.916260,-448.142365
14,0.116667,-0.329585,-0.448140,0.487291,-0.673121,65.385811,1238.916748,-448.143951
15,0.125000,-0.329590,-0.448137,0.487270,-0.673136,65.385803,1238.914307,-448.142670
16,0.133333,-0.329587,-0.448136,0.487283,-0.673128,65.388748,1238.917358,-448.145142
17,0.141667,-0.329592,-0.448154,0.487267,-0.673126,65.387550,1238.914673,-448.143585
18,0.150000,-0.329595,-0.448149,0.487283,-0.673116,65.384895,1238.915161,-448.144348
19,0.158333,-0.329594,-0.448162,0.487279,-0.673110,65.388481,1238.915771,-448.145752
20,0.166667,-0.329607,-0.448139,0.487286,-0.673114,65.384354,1238.917969,-448.146240
21,0.175000,-0.329596,-0.448130,0.487297,-0.673118,65.384315,1238.918701,-448.146515
22,0.183333,-0.329583,-0.448161,0.487291,-0.673108,65.383263,1238.918213,-448.147369
23,0.191667,-0.329591,-0.448164,0.487272,-0.673116,65.383675,1238.915283,-448.146118
24,0.200000,-0.329598,-0.448157,0.487283,-0.673109,65.383537,1238.917236,-448.147644
25,0.208333,-0.329586,-0.448155,0.487294,-0.673109,65.384186,1238.917236,-448.145752
26,0.216667,-0.329590,-0.448154,0.487288,-0.673111,65.381638,1238.917114,-448.147949
27,0.225000,-0.329591,-0.448143,0.487294,-0.673114,65.383820,1238.920044,-448.146271
28,0.233333,-0.329598,-0.448155,0.487301,-0.673097,65.384483,1238.918579,-448.144409
29,0.241667,-0.329592,-0.448144,0.487288,-0.673117,65.384941,1238.916138,-448.143646
30,0.250000,-0.329578,-0.448163,0.487285,-0.673114,65.386314,1238.915283,-448.143158
31,0.258333,-0.329584,-0.448141,0.487298,-0.673116,65.384636,1238.915527,-448.141968
32,0.266667,-0.329601,-0.448158,0.487296,-0.673097,65.387543,1238.918091,-448.144073
33,0.275000,-0.329607,-0.448153,0.487294,-0.673099,65.389557,1238.917725,-448.145142
34,0.283333,-0.329583,-0.448147,0.487286,-0.673120,65.387054,1238.912720,-448.141968
35,0.291667,-0.329577,-0.448160,0.487281,-0.673119,65.386688,1238.914673,-448.142792
36,0.300000,-0.329595,-0.448174,0.487284,-0.673098,65.390564,1238.916870,-448.141907
37,0.308333,-0.329592,-0.448156,0.487298,-0.673102,65.386620,1238.915527,-448.139709
38,0.316667,-0.329602,-0.448149,0.487284,-0.673112,65.387878,1238.915283,-448.142609
39,0.325000,-0.329606,-0.448172,0.487284,-0.673094,65.388908,1238.916626,-448.142700
40,0.333333,-0.329597,-0.448149,0.487275,-0.673120,65.386467,1238.915405,-448.144470
41,0.341667,-0.329580,-0.448134,0.487292,-0.673126,65.384018,1238.914551,-448.143982
42,0.350000,-0.329606,-0.448168,0.487282,-0.673099,65.388916,1238.917847,-448.143463
43,0.358333,-0.329609,-0.448137,0.487281,-0.673119,65.386940,1238.918457,-448.143646
44,0.366667,-0.329606,-0.448145,0.487286,-0.673111,65.386993,1238.917847,-448.145447
45,0.375000,-0.329603,-0.448145,0.487285,-0.673113,65.386414,1238.918213,-448.145874
46,0.383333,-0.329593,-0.448138,0.487278,-0.673127,65.387604,1238.915894,-448.145569
47,0.391667,-0.329603,-0.448168,0.487282,-0.673101,65.384018,1238.915283,-448.142578
48,0.400000,-0.329595,-0.448158,0.487282,-0.673110,65.387428,1238.917480,-448.144104
49,0.408333,-0.329608,-0.448175,0.487280,-0.673094,65.385902,1238.918945,-448.144897
50,0.416667,-0.329602,-0.448174,0.487277,-0.673100,65.386749,1238.917603,-448.144012
51,0.425000,-0.329609,-0.448165,0.487282,-0.673099,65.387474,1238.915405,-448.144745
52,0.433333,-0.329612,-0.448165,0.487275,-0.673102,65.384659,1238.916992,-448.143799
53,0.441667,-0.329592,-0.448165,0.487290,-0.673102,65.385536,1238.916992,-448.144470
54,0.450000,-0.329604,-0.448161,0.487281,-0.673105,65.385849,1238.917603,-448.144196
55,0.458333,-0.329591,-0.448136,0.487299,-0.673115,65.384972,1238.919312,-448.143585
56,0.466667,-0.329598,-0.448154,0.487284,-0.673110,65.385452,1238.916382,-448.143036
57,0.475000,-0.329608,-0.448145,0.487290,-0.673107,65.385483,1238.915771,-448.144928
58,0.483333,-0.329606,-0.448147,0.487293,-0.673105,65.385979,1238.918213,-448.143860
59,0.491667,-0.329603,-0.448160,0.487288,-0.673101,65.384476,1238.918091,-448.144531
60,0.500000,-0.329594,-0.448150,0.487278,-0.673120,65.386047,1238.920044,-448.145538
61,0.508333,-0.329580,-0.448146,0.487287,-0.673122,65.385269,1238.917603,-448.145050
