Format Version,1.23,Take Name,setup1_natural_train,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-01-29 12.07.09.385 PM,Total Frames in Take,17594,Total Exported Frames,17594,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,camera,camera,camera,camera,camera,camera,camera
,ID,"AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.329633,-0.448163,0.487230,-0.673126,65.386360,1238.911865,-448.140900
1,0.008333,,,,,,,
2,0.016667,,,,,,,
3,0.025000,-0.329633,-0.448153,0.487239,-0.673126,65.387932,1238.915527,-448.137573
4,0.033333,-0.329638,-0.448181,0.487221,-0.673118,65.387260,1238.913940,-448.137573
5,0.041667,-0.329620,-0.448174,0.487232,-0.673124,65.389404,1238.916016,-448.137939
6,0.050000,-0.329639,-0.448167,0.487227,-0.673123,65.386269,1238.911133,-448.138885
7,0.058333,-0.329605,-0.448166,0.487275,-0.673106,65.383728,1238.917847,-448.135376
8,0.066667,-0.329621,-0.448143,0.487250,-0.673131,65.387695,1238.914429,-448.141083
9,0.075000,-0.329622,-0.448124,0.487248,-0.673145,65.384865,1238.914673,-448.142242
10,0.083333,-0.329609,-0.448150,0.487243,-0.673138,65.388199,1238.913452,-448.140900
11,0.091667,-0.329636,-0.448179,0.487224,-0.673118,65.387367,1238.912598,-448.144257
12,0.100000,-0.329629,-0.448158,0.487232,-0.673130,65.386360,1238.914551,-448.143982
13,0.108333,-0.329609,-0.448164,0.487247,-0.673125,65.388153,1238.919800,-448.142944
14,0.116667,-0.329615,-0.448146,0.487253,-0.673130,65.385040,1238.916382,-448.142944
15,0.125000,-0.329895,-0.448486,0.487549,-0.672552,65.290298,1238.930176,-448.149994
16,0.133333,-0.329622,-0.448165,0.487228,-0.673132,65.388084,1238.915405,-448.142487
17,0.141667,-0.329609,-0.448141,0.487238,-0.673147,65.385345,1238.915283,-448.143677
18,0.150000,-0.329619,-0.448146,0.487231,-0.673144,65.389236,1238.915894,-448.143402
19,0.158333,-0.329629,-0.448166,0.487233,-0.673124,65.390106,1238.917725,-448.143158
20,0.166667,-0.329628,-0.448150,0.487244,-0.673127,65.389603,1238.918945,-448.142151
21,0.175000,-0.329879,-0.448480,0.487556,-0.672559,65.292984,1238.931519,-448.150085
22,0.183333,-0.329616,-0.448160,0.487235,-0.673133,65.388817,1238.916138,-448.142761
23,0.191667,-0.329612,-0.448146,0.487246,-0.673137,65.388206,1238.914429,-448.143524
24,0.200000,-0.329631,-0.448178,0.487226,-0.673120,65.387482,1238.916260,-448.140656
25,0.208333,-0.329640,-0.448172,0.487247,-0.673105,65.388519,1238.919556,-448.141663
26,0.216667,-0.329632,-0.448150,0.487242,-0.673127,65.386856,1238.918213,-448.143677
27,0.225000,-0.329629,-0.448153,0.487250,-0.673121,65.386017,1238.920898,-448.140808
28,0.233333,-0.329625,-0.448153,0.487246,-0.673125,65.387871,1238.917725,-448.141022
29,0.241667,-0.329634,-0.448161,0.487237,-0.673122,65.387985,1238.916992,-448.140900
30,0.250000,-0.329620,-0.448165,0.487245,-0.673121,65.388191,1238.916870,-448.140991
31,0.258333,-0.329624,-0.448156,0.487250,-0.673121,65.386475,1238.916260,-448.142883
32,0.266667,-0.329622,-0.448145,0.487251,-0.673128,65.386192,1238.918213,-448.141785
33,0.275000,-0.329619,-0.448149,0.487231,-0.673142,65.387306,1238.916504,-448.141266
34,0.283333,-0.329626,-0.448157,0.487229,-0.673134,65.384956,1238.913452,-448.141663
35,0.291667,-0.329612,-0.448166,0.487234,-0.673132,65.384804,1238.910889,-448.143829
36,0.300000,-0.329619,-0.448155,0.487249,-0.673124,65.388519,1238.914917,-448.142456
37,0.308333,-0.329612,-0.448153,0.487241,-0.673136,65.389427,1238.916138,-448.141296
38,0.316667,-0.329616,-0.448147,0.487224,-0.673149,65.385979,1238.914429,-448.139557
39,0.325000,-0.329627,-0.448151,0.487228,-0.673139,65.388428,1238.915527,-448.142334
40,0.333333,-0.329620,-0.448144,0.487231,-0.673145,65.386848,1238.912842,-448.139984
41,0.341667,-0.329618,-0.448151,0.487236,-0.673137,65.388901,1238.915894,-448.138977
42,0.350000,-0.329622,-0.448137,0.487246,-0.673138,65.392159,1238.916626,-448.138336
43,0.358333,-0.329630,-0.448148,0.487230,-0.673138,65.388260,1238.918457,-448.136749
44,0.366667,-0.329634,-0.448145,0.487232,-0.673136,65.391144,1238.914673,-448.139496
45,0.375000,-0.329617,-0.448144,0.487233,-0.673145,65.390457,1238.916138,-448.138428
46,0.383333,-0.329636,-0.448157,0.487224,-0.673133,65.388603,1238.915649,-448.137695
47,0.391667,-0.329630,-0.448164,0.487226,-0.673130,65.388741,1238.916382,-448.138519
48,0.400000,-0.329616,-0.448163,0.487241,-0.673127,65.387268,1238.914551,-448.139008
49,0.408333,-0.329863,-0.448490,0.487571,-0.672549,65.290665,1238.928589,-448.144165
50,0.416667,-0.329629,-0.448150,0.487247,-0.673124,65.387482,1238.914185,-448.143402
51,0.425000,-0.329627,-0.448178,0.487227,-0.673122,65.388565,1238.915405,-448.140442
52,0.433333,-0.329632,-0.448148,0.487244,-0.673127,65.384796,1238.915283,-448.142395
53,0.441667,-0.329633,-0.448162,0.487244,-0.673117,65.387581,1238.917236,-448.141602
54,0.450000,-0.329637,-0.448159,0.487243,-0.673118,65.385490,1238.919556,-448.143982
55,0.458333,-0.329617,-0.448151,0.487245,-0.673131,65.386292,1238.916504,-448.141479
56,0.466667,-0.329625,-0.448148,0.487250,-0.673126,65.387222,1238.918823,-448.141357
57,0.475000,-0.329618,-0.448179,0.487237,-0.673118,65.388763,1238.916504,-448.141968
58,0.483333,-0.329629,-0.448163,0.487234,-0.673125,65.388077,1238.912842,-448.140594
59,0.491667,-0.329623,-0.448159,0.487238,-0.673128,65.389954,1238.915527,-448.141968
60,0.500000,-0.329608,-0.448134,0.487247,-0.673145,65.390190,1238.917480,-448.143188
61,0.508333,-0.329620,-0.448150,0.487253,-0.673125,65.385460,1238.915283,-448.141083
