#timestamp qx qy qz qw px py pz
1733911073.000000000 0.163448 -0.323233 0.690378 -0.626245 -228.442795 1165.063965 34.883217
1733911073.008332968 0.163447 -0.322813 0.690465 -0.626366 -228.464188 1165.097534 34.887135
1733911073.025000095 0.163417 -0.323135 0.690414 -0.626265 -228.445602 1165.072876 34.885479
1733911073.033333063 0.163396 -0.323246 0.690427 -0.626199 -228.441589 1165.062500 34.885132
1733911073.041666985 0.163407 -0.323269 0.690424 -0.626187 -228.440277 1165.062012 34.884056
1733911073.049999952 0.163416 -0.322821 0.690491 -0.626341 -228.463318 1165.093628 34.888538
1733911073.058332920 0.163420 -0.322705 0.690508 -0.626382 -228.472687 1165.105957 34.889957
1733911073.066667080 0.163411 -0.322666 0.690512 -0.626400 -228.476242 1165.106689 34.890720
1733911073.075000048 0.163434 -0.322689 0.690496 -0.626399 -228.474442 1165.104370 34.891129
1733911073.083333015 0.163438 -0.322675 0.690500 -0.626402 -228.473038 1165.105469 34.888870
1733911073.091666937 0.163434 -0.322691 0.690505 -0.626389 -228.475388 1165.105835 34.888203
1733911073.099999905 0.163427 -0.322696 0.690507 -0.626385 -228.475159 1165.103149 34.888199
1733911073.108333111 0.163425 -0.322692 0.690508 -0.626386 -228.475845 1165.103394 34.890846
1733911073.116667032 0.163421 -0.322686 0.690514 -0.626385 -228.472565 1165.102539 34.891197
1733911073.125000000 0.163435 -0.322713 0.690509 -0.626373 -228.474930 1165.103271 34.889668
1733911073.133332968 0.163414 -0.323137 0.690445 -0.626230 -228.449585 1165.072266 34.888878
1733911073.141666889 0.163397 -0.323247 0.690418 -0.626207 -228.438873 1165.067871 34.887234
1733911073.150000095 0.163436 -0.322834 0.690471 -0.626352 -228.459793 1165.093140 34.890152
1733911073.158333063 0.163469 -0.322667 0.690465 -0.626436 -228.477097 1165.100586 34.892681
1733911073.166666985 0.163436 -0.322660 0.690489 -0.626422 -228.473404 1165.104126 34.889523
1733911073.174999952 0.164186 -0.322995 0.689975 -0.626620 -228.380280 1165.040527 34.914791
1733911073.183332920 0.163603 -0.323205 0.690302 -0.626303 -228.421829 1165.053589 34.893452
1733911073.191667080 0.163452 -0.322802 0.690465 -0.626370 -228.458939 1165.089355 34.890060
1733911073.200000048 0.163409 -0.322687 0.690503 -0.626399 -228.469498 1165.101074 34.890114
1733911073.208333015 0.163409 -0.322669 0.690504 -0.626408 -228.471008 1165.106812 34.890621
1733911073.216666937 0.163433 -0.322667 0.690503 -0.626404 -228.471176 1165.105103 34.891541
1733911073.224999905 0.163398 -0.323135 0.690446 -0.626235 -228.449615 1165.073120 34.887577
1733911073.233333111 0.163407 -0.323269 0.690437 -0.626173 -228.443527 1165.063721 34.886250
1733911073.241667032 0.163432 -0.322840 0.690482 -0.626338 -228.462814 1165.093262 34.889191
1733911073.250000000 0.163419 -0.323160 0.690434 -0.626229 -228.448135 1165.072876 34.887424
1733911073.258332968 0.163420 -0.323247 0.690412 -0.626208 -228.442078 1165.067627 34.887260
1733911073.266666889 0.163429 -0.322824 0.690470 -0.626360 -228.464966 1165.093872 34.889141
1733911073.275000095 0.163422 -0.322704 0.690500 -0.626390 -228.471466 1165.102661 34.889587
1733911073.283333063 0.163415 -0.323120 0.690423 -0.626263 -228.444702 1165.075806 34.885952
